"route","pageType","risk","priority","score","reviewStatus","reviewMethod","reviewedAt","reviewDue","overdueDays","action","expectedOutcome","reviewer","notes"
"/directories/service-paths/","directory","standard","P1","97","source-mapped","automated","2026-07-18","2026-07-21","0","semantic-review","完成显式语义核对后升级为 ai-assisted","站内证据映射审计","目录已通过官方入口、主题匹配与成品 HTML 审计；尚无逐条正文比对记录的页面保持自动来源映射状态。"
"/directories/tests-permits/","directory","standard","P1","97","source-mapped","automated","2026-07-18","2026-07-21","0","semantic-review","完成显式语义核对后升级为 ai-assisted","站内证据映射审计","目录已通过官方入口、主题匹配与成品 HTML 审计；尚无逐条正文比对记录的页面保持自动来源映射状态。"
"/editorial-policy/","trust","policy","P3","98","not-required","","","2026-07-21","0","observation","每月复核一次","",""
"/practice-tests/","collection","standard","P3","93","ai-assisted","ai-assisted","2026-07-19","2026-11-16","0","observation","每月复核一次","Codex AI 辅助结构复核","当前只发布已完成逐题来源核对的 Georgia 题库；未核对州不生成占位内容页。"
"/practice-tests/georgia/","collection","standard","P3","93","ai-assisted","ai-assisted","2026-07-19","2026-11-16","0","observation","每月复核一次","Codex AI 辅助证据核查","未使用旧站或第三方题目；已公开正式考试与短练习的区别，并披露 DDS 当前考试页与旧版手册对中文 Road Signs 的冲突。"
"/privacy/","trust","policy","P3","98","not-required","","","2026-07-21","0","observation","每月复核一次","",""
"/quality/","trust","policy","P3","98","not-required","","","2026-07-21","0","observation","每月复核一次","",""
"/sources/","trust","policy","P3","98","not-required","","","2026-07-21","0","observation","每月复核一次","",""
"/states/","collection","standard","P3","93","ai-assisted","ai-assisted","2026-07-18","2026-11-15","0","observation","每月复核一次","Codex AI 辅助结构复核","该页面已接入可追踪版本，完成规则结构核对与入口映射；高风险页面仍需安排真实人工语义签字。"
"/states/alabama/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","本轮重点纠正县级办公室与 ALEA Examining Office 混用、外国驾照误套美国外州免试、遗漏 Chinese written examination，以及非公民网页 160 天与 2024 手册 30 天的官方冲突。所有映射均为 AI 辅助语义核查，不冒充律师、政府人员或真实人工专业签字。"
"/states/alabama/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","本轮重点纠正县级办公室与 ALEA Examining Office 混用、外国驾照误套美国外州免试、遗漏 Chinese written examination，以及非公民网页 160 天与 2024 手册 30 天的官方冲突。所有映射均为 AI 辅助语义核查，不冒充律师、政府人员或真实人工专业签字。"
"/states/alaska/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-19","2026-10-17","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Alaska 两页并建立显式声明级来源；补齐普通/CDL 转入期限、中国大陆驾照的路考边界、standard 与 REAL ID 材料/费用差异、外文翻译、SAVE 二次核验、州外补证、私人 partner 费用和偏远社区专用路径。"
"/states/alaska/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-19","2026-10-17","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Alaska 两页并建立显式声明级来源；补齐普通/CDL 转入期限、中国大陆驾照的路考边界、standard 与 REAL ID 材料/费用差异、外文翻译、SAVE 二次核验、州外补证、私人 partner 费用和偏远社区专用路径。"
"/states/arizona/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Travel/Non-Travel 判断、明确中国大陆与 Taiwan 的免试差异，并补齐 SSN、authorized presence、resident triggers、考试、邮寄和第三方收费边界；仍待真实人工签字。"
"/states/arizona/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Travel/Non-Travel 判断、明确中国大陆与 Taiwan 的免试差异，并补齐 SSN、authorized presence、resident triggers、考试、邮寄和第三方收费边界；仍待真实人工签字。"
"/states/arkansas/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-19","2026-10-17","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Arkansas 两页并建立显式声明级来源；拆开 State Police 考试与 DFA Revenue Office 签发流程，补齐新居民 30 天、外国驾照互惠、续补证和地址路径；公开标注 REAL ID 简介与当前打印清单/FAQ 对 Social Security Card 和 DD214 的表述差异，并移除由旧 Saturday 活动推导出的长期 walk-in 结论。"
"/states/arkansas/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-19","2026-10-17","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Arkansas 两页并建立显式声明级来源；拆开 State Police 考试与 DFA Revenue Office 签发流程，补齐新居民 30 天、外国驾照互惠、续补证和地址路径；公开标注 REAL ID 简介与当前打印清单/FAQ 对 Social Security Card 和 DD214 的表述差异，并移除由旧 Saturday 活动推导出的长期 walk-in 结论。"
"/states/california/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 REAL ID 材料与失败原因，更新当前费用，改用 learner permit 新路径，并把自动匹配错误改成显式来源；仍待真实人工签字。"
"/states/california/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 REAL ID 材料与失败原因，更新当前费用，改用 learner permit 新路径，并把自动匹配错误改成显式来源；仍待真实人工签字。"
"/states/colorado/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写身份分流与办事路径，纳入 2025-03-31 后 Standard 新规则，区分中国大陆与 Taiwan reciprocity，并把费用、期限、材料、考试和法律后果改为显式来源；仍待真实人工签字。"
"/states/colorado/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写身份分流与办事路径，纳入 2025-03-31 后 Standard 新规则，区分中国大陆与 Taiwan reciprocity，并把费用、期限、材料、考试和法律后果改为显式来源；仍待真实人工签字。"
"/states/connecticut/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写金色星标、ordinary non-verified 与 Drive Only 判断路径，补齐中国大陆申请人的成人 permit、90 天等待豁免边界、2026 Work Zone 课程、当前费用和邮寄规则；对 SSN documentation、limited-term eligibility 与首证期限的州方页面冲突作显式风险提示，仍待真实人工签字。"
"/states/connecticut/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写金色星标、ordinary non-verified 与 Drive Only 判断路径，补齐中国大陆申请人的成人 permit、90 天等待豁免边界、2026 Work Zone 课程、当前费用和邮寄规则；对 SSN documentation、limited-term eligibility 与首证期限的州方页面冲突作显式风险提示，仍待真实人工签字。"
"/states/delaware/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","本轮重点区分美国外州与外国驾照、Taiwan reciprocity 与中国大陆驾照、SecureID 与 non-compliant credential、lawful-presence credential 与 DPC，并以 2025 年 10 月生效的 Fee Chart 覆盖 July 2025 Driver Manual 中的旧金额。官方样题入口只列 English、Spanish、Haitian，未据此虚构中文考试。全部映射为 AI 辅助语义核查，不冒充 DMV、律师或人工专业签字。"
"/states/delaware/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","本轮重点区分美国外州与外国驾照、Taiwan reciprocity 与中国大陆驾照、SecureID 与 non-compliant credential、lawful-presence credential 与 DPC，并以 2025 年 10 月生效的 Fee Chart 覆盖 July 2025 Driver Manual 中的旧金额。官方样题入口只列 English、Spanish、Haitian，未据此虚构中文考试。全部映射为 AI 辅助语义核查，不冒充 DMV、律师或人工专业签字。"
"/states/florida/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Florida 总览与 REAL ID 清单，补充 80 岁以上有效期、地址证明替代路径和外州证件边界，并用 2026 年 English-only 公告纠正旧考试页仍显示的历史语言列表；仍待真实人工签字。"
"/states/florida/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Florida 总览与 REAL ID 清单，补充 80 岁以上有效期、地址证明替代路径和外州证件边界，并用 2026 年 English-only 公告纠正旧考试页仍显示的历史语言列表；仍待真实人工签字。"
"/states/georgia/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Georgia 总览与 REAL ID 页面，补齐 30/60/150 天分界、当前费用、考试与外国驾照路径，并公开标注永久卡 30/45 天、第二次改址费用和 Chinese Road Signs 三组官方页面差异；所有声明已改为显式来源，仍待真实人工签字。"
"/states/georgia/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Georgia 总览与 REAL ID 页面，补齐 30/60/150 天分界、当前费用、考试与外国驾照路径，并公开标注永久卡 30/45 天、第二次改址费用和 Chinese Road Signs 三组官方页面差异；所有声明已改为显式来源，仍待真实人工签字。"
"/states/hawaii/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-19","2026-10-17","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Hawaii 两页并建立显式声明级来源；拆开州级规则与四县办理，更新失效 Honolulu/Hawaii County 入口，增加唯一 REAL ID credential 专属判断，并公开 SSN 统一材料表与县级 transfer 页面、China/Taiwan reciprocity、oral exam 和 6-8 周邮寄边界。"
"/states/hawaii/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-19","2026-10-17","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Hawaii 两页并建立显式声明级来源；拆开州级规则与四县办理，更新失效 Honolulu/Hawaii County 入口，增加唯一 REAL ID credential 专属判断，并公开 SSN 统一材料表与县级 transfer 页面、China/Taiwan reciprocity、oral exam 和 6-8 周邮寄边界。"
"/states/idaho/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","重点补齐 2026 年新 customer profile 身份规则、中国大陆与 Germany / Korea / Taiwan 互惠边界、Chinese written / aural test、美国外州转入考试、lawful-presence、三天重考、线上续期和地址改名。所有映射为 AI 辅助语义核查，不冒充 ITD、律师或真实人工专业审核。"
"/states/idaho/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","重点补齐 2026 年新 customer profile 身份规则、中国大陆与 Germany / Korea / Taiwan 互惠边界、Chinese written / aural test、美国外州转入考试、lawful-presence、三天重考、线上续期和地址改名。所有映射为 AI 辅助语义核查，不冒充 ITD、律师或真实人工专业审核。"
"/states/illinois/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Illinois 总览与 REAL ID 页面，移除过时 TVDL 逻辑，补充当前 Chicago Supercenter、永久卡邮寄、TSA 临时纸卡边界、90 天新居民测试差异和 2026 年 87 岁 road test 起点，并将所有声明改为显式来源；仍待真实人工签字。"
"/states/illinois/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Illinois 总览与 REAL ID 页面，移除过时 TVDL 逻辑，补充当前 Chicago Supercenter、永久卡邮寄、TSA 临时纸卡边界、90 天新居民测试差异和 2026 年 87 岁 road test 起点，并将所有声明改为显式来源；仍待真实人工签字。"
"/states/indiana/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-19","2026-10-17","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Indiana 两页并建立显式声明级来源；公开标注当前 New Resident/Driver License 页面与旧中央制证 FAQ 对有效外州驾照是否考 written test 的差异，中国大陆驾照不套用 Japan/Taiwan reciprocity。"
"/states/indiana/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-19","2026-10-17","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Indiana 两页并建立显式声明级来源；公开标注当前 New Resident/Driver License 页面与旧中央制证 FAQ 对有效外州驾照是否考 written test 的差异，中国大陆驾照不套用 Japan/Taiwan reciprocity。"
"/states/iowa/","state-overview","medium","P1","93","source-mapped","automated","2026-07-18","2026-07-21","0","semantic-review","完成显式语义核对后升级为 ai-assisted","站内证据映射审计","当前只通过官方来源映射与结构一致性核验；逐页打开官方正文并完成显式声明核对后，才能升级为 AI 辅助证据核对。"
"/states/iowa/real-id/","state-real-id","medium","P1","99","source-mapped","automated","2026-07-18","2026-07-21","0","semantic-review","完成显式语义核对后升级为 ai-assisted","站内证据映射审计","当前只通过官方来源映射与结构一致性核验；逐页打开官方正文并完成显式声明核对后，才能升级为 AI 辅助证据核对。"
"/states/kansas/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Kansas 总览与 REAL ID 页面，拆分首次 / 外州 / 外国驾照 / non-citizen / renewal / address / REAL ID 路线；补齐 90 天、SAVE、Taiwan / South Korea reciprocity、邮寄和地点限制，并公开标记 address-change $8 / $10 官方差异与中文考试未确认边界。"
"/states/kansas/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Kansas 总览与 REAL ID 页面，拆分首次 / 外州 / 外国驾照 / non-citizen / renewal / address / REAL ID 路线；补齐 90 天、SAVE、Taiwan / South Korea reciprocity、邮寄和地点限制，并公开标记 address-change $8 / $10 官方差异与中文考试未确认边界。"
"/states/kentucky/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","重点补齐中国大陆与 Taiwan / South Korea 互惠边界、KSP Chinese standard-operator test、30 天转入、2026 Letter ID、vision renewal、非公民 REAL ID 和 permit online-renewal 的官方冲突。DRIVE 直连在自动检查中返回 403，但当前官方索引正文与 PDF 均已语义核对；所有映射为 AI 辅助核查，不冒充 KYTC、KSP、律师或真实人工专业审核。"
"/states/kentucky/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","重点补齐中国大陆与 Taiwan / South Korea 互惠边界、KSP Chinese standard-operator test、30 天转入、2026 Letter ID、vision renewal、非公民 REAL ID 和 permit online-renewal 的官方冲突。DRIVE 直连在自动检查中返回 403，但当前官方索引正文与 PDF 均已语义核对；所有映射为 AI 辅助核查，不冒充 KYTC、KSP、律师或真实人工专业审核。"
"/states/louisiana/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","本轮明确区分美国外州转入、非互惠中国大陆驾照、Taiwan reciprocity、visitor / non-immigrant 身份、Cantonese 笔试、普通 residency 与 REAL ID 双地址证明，并记录当前 fee policy 与较旧 mail-renewal policy 的金额差异；状态为 AI 辅助证据核查，不冒充人工或专业审核。"
"/states/louisiana/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","本轮明确区分美国外州转入、非互惠中国大陆驾照、Taiwan reciprocity、visitor / non-immigrant 身份、Cantonese 笔试、普通 residency 与 REAL ID 双地址证明，并记录当前 fee policy 与较旧 mail-renewal policy 的金额差异；状态为 AI 辅助证据核查，不冒充人工或专业审核。"
"/states/maine/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Maine 两页并建立显式声明级来源；重点区分首次 / 升级 REAL ID、已有 REAL ID online / AAA、外州 transfer、非公民、地址变更、duplicate 和 interpreter 路线，旧文档只用于解释历史冲突，不作为当前渠道依据。"
"/states/maine/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Maine 两页并建立显式声明级来源；重点区分首次 / 升级 REAL ID、已有 REAL ID online / AAA、外州 transfer、非公民、地址变更、duplicate 和 interpreter 路线，旧文档只用于解释历史冲突，不作为当前渠道依据。"
"/states/maryland/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Maryland 总览与 REAL ID 页面，补齐 30/60 天、12 个月过期边界、考试语言、外国驾照与非公民路径，并公开标注旧 REAL ID FAQ 和当前费用表的 $20/$30 冲突；所有声明已改为显式来源，仍待真实人工签字。"
"/states/maryland/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Maryland 总览与 REAL ID 页面，补齐 30/60 天、12 个月过期边界、考试语言、外国驾照与非公民路径，并公开标注旧 REAL ID FAQ 和当前费用表的 $20/$30 冲突；所有声明已改为显式来源，仍待真实人工签字。"
"/states/massachusetts/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Massachusetts 总览与 REAL ID 页面，明确 Standard Class D/M 的 WFMA 边界，修正外国驾照记录期限，补充当前线上账户、邮寄、考试语言和台湾转换细节，并将所有声明改为显式来源；仍待真实人工签字。"
"/states/massachusetts/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Massachusetts 总览与 REAL ID 页面，明确 Standard Class D/M 的 WFMA 边界，修正外国驾照记录期限，补充当前线上账户、邮寄、考试语言和台湾转换细节，并将所有声明改为显式来源；仍待真实人工签字。"
"/states/michigan/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Michigan 总览与 REAL ID 页面，补齐首次申请默认 REAL ID 与已有证件转换的分流、SSA-L676 官方冲突、中国大陆/台湾 treaty 差异、线上知识考试、第三方路考、连续远程续期和新居民路径；所有声明已改为显式来源，仍待真实人工签字。"
"/states/michigan/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Michigan 总览与 REAL ID 页面，补齐首次申请默认 REAL ID 与已有证件转换的分流、SSA-L676 官方冲突、中国大陆/台湾 treaty 差异、线上知识考试、第三方路考、连续远程续期和新居民路径；所有声明已改为显式来源，仍待真实人工签字。"
"/states/minnesota/","state-overview","medium","P3","95","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","明尼苏达官方站点存在可达性波动，内容中将可达性与政策结论分离，确保“政策事实”都保留到可核验官方来源，地址/同日服务等高风险点已做单条来源映射。"
"/states/minnesota/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","明尼苏达官方站点存在可达性波动，内容中将可达性与政策结论分离，确保“政策事实”都保留到可核验官方来源，地址/同日服务等高风险点已做单条来源映射。"
"/states/mississippi/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Mississippi 两页并登记显式声明级来源；确认全州 credential 自动 Gold Star，拆分 first / transfer / renewal / duplicate / address / non-citizen / testing 路线，并公开标记过期外州证件考试门槛和旧 2023 REAL ID deadline 两组官方冲突。"
"/states/mississippi/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Mississippi 两页并登记显式声明级来源；确认全州 credential 自动 Gold Star，拆分 first / transfer / renewal / duplicate / address / non-citizen / testing 路线，并公开标记过期外州证件考试门槛和旧 2023 REAL ID deadline 两组官方冲突。"
"/states/missouri/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Missouri 总览与 REAL ID 页面，明确 DOR 签发 / MSHP 考试双入口、美国外州 184 天免试边界、外国驾照完整考试路线、中文 Class F 笔试、remote renewal / duplicate、SAVE、same-address self-certification、费用与 temporary credential 限制；所有 105 条独立陈述均登记到已核对官方正文。"
"/states/missouri/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","重写 Missouri 总览与 REAL ID 页面，明确 DOR 签发 / MSHP 考试双入口、美国外州 184 天免试边界、外国驾照完整考试路线、中文 Class F 笔试、remote renewal / duplicate、SAVE、same-address self-certification、费用与 temporary credential 限制；所有 105 条独立陈述均登记到已核对官方正文。"
"/states/montana/","state-overview","medium","P1","93","source-mapped","automated","2026-07-18","2026-07-21","0","semantic-review","完成显式语义核对后升级为 ai-assisted","站内证据映射审计","当前只通过官方来源映射与结构一致性核验；逐页打开官方正文并完成显式声明核对后，才能升级为 AI 辅助证据核对。"
"/states/montana/real-id/","state-real-id","medium","P1","99","source-mapped","automated","2026-07-18","2026-07-21","0","semantic-review","完成显式语义核对后升级为 ai-assisted","站内证据映射审计","当前只通过官方来源映射与结构一致性核验；逐页打开官方正文并完成显式声明核对后，才能升级为 AI 辅助证据核对。"
"/states/nebraska/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","重点补齐中国大陆驾照不在 foreign drive-test waiver 名单、无官方 Chinese written test、non-verbal picture test、外国字典与翻译边界、外州卡遗失 / 过期的 test table、SAVE 最长处理提示、2026 新星标、parolee non-federal credential、费用和领卡时限。所有映射为 AI 辅助核查，不冒充 Nebraska DMV、律师或真实人工专业审核。"
"/states/nebraska/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-21","2026-10-19","0","observation","每月复核一次","Codex AI 辅助证据核查","重点补齐中国大陆驾照不在 foreign drive-test waiver 名单、无官方 Chinese written test、non-verbal picture test、外国字典与翻译边界、外州卡遗失 / 过期的 test table、SAVE 最长处理提示、2026 新星标、parolee non-federal credential、费用和领卡时限。所有映射为 AI 辅助核查，不冒充 Nebraska DMV、律师或真实人工专业审核。"
"/states/nevada/","state-overview","medium","P3","96","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写三类 credential 判断与办事路径，补齐 China/Taiwan/South Korea、无 SSN、Limited Term、口译和 current fee 边界，并公开标注 Taiwan waiver 年龄与 out-of-state REAL ID 模块的官方页面差异；仍待真实人工签字。"
"/states/nevada/real-id/","state-real-id","medium","P3","99","ai-assisted","ai-assisted","2026-07-17","2026-10-15","0","observation","每月复核一次","Codex AI 辅助证据核查","重写三类 credential 判断与办事路径，补齐 China/Taiwan/South Korea、无 SSN、Limited Term、口译和 current fee 边界，并公开标注 Taiwan waiver 年龄与 out-of-state REAL ID 模块的官方页面差异；仍待真实人工签字。"
